Ingredients,Description
Beef Brisket,"Beef is the culinary name for meat from cattle, particularly skeletal muscle. Humans have been eating beef since prehistoric times. Beef is a source of high-quality protein and nutrients.

Most beef skeletal muscle meat can be used as is by merely cutting into certain parts, such as roasts, short ribs or steak (filet mignon, sirloin steak, rump steak, rib steak, rib eye steak, hanger steak, etc.), while other cuts are processed (corned beef or beef jerky). Trimmings, on the other hand, are usually mixed with meat from older, leaner (therefore tougher) cattle, are ground, minced or used in sausages. The blood is used in some varieties called blood sausage. Other parts that are eaten include other muscles and offal, such as the oxtail, liver, tongue, tripe from the reticulum or rumen, glands (particularly the pancreas and thymus, referred to as sweetbread), the heart, the brain (although forbidden where there is a danger of bovine spongiform encephalopathy, BSE, commonly referred to as mad cow disease), the kidneys, and the tender testicles of the bull (known in the United States as calf fries, prairie oysters, or Rocky Mountain oysters). Some intestines are cooked and eaten as is, but are more often cleaned and used as natural sausage casings. The bones are used for making beef stock."
Beef Fillet,"Beef is the culinary name for meat from cattle, particularly skeletal muscle. Humans have been eating beef since prehistoric times. Beef is a source of high-quality protein and nutrients.

Most beef skeletal muscle meat can be used as is by merely cutting into certain parts, such as roasts, short ribs or steak (filet mignon, sirloin steak, rump steak, rib steak, rib eye steak, hanger steak, etc.), while other cuts are processed (corned beef or beef jerky). Trimmings, on the other hand, are usually mixed with meat from older, leaner (therefore tougher) cattle, are ground, minced or used in sausages. The blood is used in some varieties called blood sausage. Other parts that are eaten include other muscles and offal, such as the oxtail, liver, tongue, tripe from the reticulum or rumen, glands (particularly the pancreas and thymus, referred to as sweetbread), the heart, the brain (although forbidden where there is a danger of bovine spongiform encephalopathy, BSE, commonly referred to as mad cow disease), the kidneys, and the tender testicles of the bull (known in the United States as calf fries, prairie oysters, or Rocky Mountain oysters). Some intestines are cooked and eaten as is, but are more often cleaned and used as natural sausage casings. The bones are used for making beef stock."
Beef Gravy,"Beef is the culinary name for meat from cattle, particularly skeletal muscle. Humans have been eating beef since prehistoric times. Beef is a source of high-quality protein and nutrients.

Most beef skeletal muscle meat can be used as is by merely cutting into certain parts, such as roasts, short ribs or steak (filet mignon, sirloin steak, rump steak, rib steak, rib eye steak, hanger steak, etc.), while other cuts are processed (corned beef or beef jerky). Trimmings, on the other hand, are usually mixed with meat from older, leaner (therefore tougher) cattle, are ground, minced or used in sausages. The blood is used in some varieties called blood sausage. Other parts that are eaten include other muscles and offal, such as the oxtail, liver, tongue, tripe from the reticulum or rumen, glands (particularly the pancreas and thymus, referred to as sweetbread), the heart, the brain (although forbidden where there is a danger of bovine spongiform encephalopathy, BSE, commonly referred to as mad cow disease), the kidneys, and the tender testicles of the bull (known in the United States as calf fries, prairie oysters, or Rocky Mountain oysters). Some intestines are cooked and eaten as is, but are more often cleaned and used as natural sausage casings. The bones are used for making beef stock."
Beef Stock,"Beef is the culinary name for meat from cattle, particularly skeletal muscle. Humans have been eating beef since prehistoric times. Beef is a source of high-quality protein and nutrients.

Most beef skeletal muscle meat can be used as is by merely cutting into certain parts, such as roasts, short ribs or steak (filet mignon, sirloin steak, rump steak, rib steak, rib eye steak, hanger steak, etc.), while other cuts are processed (corned beef or beef jerky). Trimmings, on the other hand, are usually mixed with meat from older, leaner (therefore tougher) cattle, are ground, minced or used in sausages. The blood is used in some varieties called blood sausage. Other parts that are eaten include other muscles and offal, such as the oxtail, liver, tongue, tripe from the reticulum or rumen, glands (particularly the pancreas and thymus, referred to as sweetbread), the heart, the brain (although forbidden where there is a danger of bovine spongiform encephalopathy, BSE, commonly referred to as mad cow disease), the kidneys, and the tender testicles of the bull (known in the United States as calf fries, prairie oysters, or Rocky Mountain oysters). Some intestines are cooked and eaten as is, but are more often cleaned and used as natural sausage casings. The bones are used for making beef stock."
Bicarbonate Of Soda,"Sodium bicarbonate, commonly known as baking soda, is a chemical compound with the formula NaHCO3. It is a salt composed of a sodium cation (Na+) and a bicarbonate anion (HCO3−). Sodium bicarbonate is a white solid that is crystalline, but often appears as a fine powder. It has a slightly salty, alkaline taste resembling that of washing soda (sodium carbonate). The natural mineral form is nahcolite. It is a component of the mineral natron and is found dissolved in many mineral springs."
Biryani Masala,"Biryani, also known as biriyani, biriani, birani or briyani, is a mixed rice dish with its origins among the Muslims of the Indian subcontinent. It can be compared to mixing a curry, later combining it with semi-cooked rice separately. This dish is especially popular throughout the Indian subcontinent, as well as among the diaspora from the region. It is also prepared in other regions such as Iraqi Kurdistan. It is made with Indian spices, rice, meat (chicken, goat, beef, lamb, prawn, or fish), vegetables or eggs."
Black Pepper,"Black pepper (Piper nigrum) is a flowering vine in the family Piperaceae, cultivated for its fruit, known as a peppercorn, which is usually dried and used as a spice and seasoning. When fresh and fully mature, it is about 5 mm (0.20 in) in diameter and dark red, and contains a single seed, like all drupes. Peppercorns and the ground pepper derived from them may be described simply as pepper, or more precisely as black pepper (cooked and dried unripe fruit), green pepper (dried unripe fruit), or white pepper (ripe fruit seeds).

Black pepper is native to present-day Kerala in Southwestern India, and is extensively cultivated there and elsewhere in tropical regions. Vietnam is the world's largest producer and exporter of pepper, producing 34% of the world's crop, as of 2013."
Black Treacle,"Molasses (American English) or black treacle (British English) is a viscous product resulting from refining sugarcane or sugar beets into sugar. Molasses varies by amount of sugar, method of extraction, and age of plant. Sugarcane molasses is primarily used for sweetening and flavoring foods in the United States, Canada, and elsewhere. Molasses is a defining component of fine commercial brown sugar.

Sweet sorghum syrup may be colloquially called ""sorghum molasses"" in the southern United States.[2][3] Similar products include honey, maple syrup, corn syrup, and invert syrup. Most of these alternative syrups have milder flavors."
Borlotti Beans,
Bowtie Pasta,
Bramley Apples,
Brandy,
Bread,
Breadcrumbs,
Broccoli,
Brown Lentils,
Brown Rice,
Brown Sugar,
Butter,
Cacao,
Cajun,
Canned Tomatoes,
Cannellini Beans,
Cardamom,
Carrots,
Cashew Nuts,
Cashews,
Caster Sugar,
Cayenne Pepper,
Celeriac,
Celery,
Celery Salt,
Challots,
Charlotte Potatoes,
Cheddar Cheese,
Cheese,
Cheese Curds,
Cherry Tomatoes,
Chestnut Mushroom,
Chicken Breast,
Chicken Breasts,
Chicken Legs,
Chicken Stock,
Chicken Thighs,
Chickpeas,
Chili Powder,
Chilled Butter,
Chilli,
Chilli Powder,
Chinese Broccoli,
Chocolate Chips,
Chopped Onion,
Chopped Parsley,
Chopped Tomatoes,
Chorizo,
Christmas Pudding,
Cilantro,
Cinnamon,
Cinnamon Stick,
Cloves,
Coco Sugar,
Cocoa,
Coconut Cream,
Coconut Milk,
Colby Jack Cheese,
Cold Water,
Condensed Milk,
Coriander,
Coriander Leaves,
Coriander Seeds,
Corn Tortillas,
Cornstarch,
Cream,
Creme Fraiche,
Cubed Feta Cheese,
Cucumber,
Cumin,
Cumin Seeds,
Curry Powder,
Dark Brown Sugar,
Dark Soft Brown Sugar,
Dark Soy Sauce,
Demerara Sugar,
Diced Tomatoes,
Digestive Biscuits,
Dill,
Doner Meat,
Double Cream,
Dried Oregano,
Dry White Wine,
Egg Plants,
Egg Rolls,
Egg White,
Egg Yolks,
Eggs,
Enchilada Sauce,
English Mustard,
Extra Virgin Olive Oil,
Fajita Seasoning,
Farfalle,
Fennel,
Fennel Bulb,
Fennel Seeds,
Fenugreek,
Feta,
Fish Sauce,
Flaked Almonds,
Flax Eggs,
Flour,
Flour Tortilla,
Floury Potatoes,
"Free-range Egg, Beaten",
"Free-range Eggs, Beaten",
French Lentils,
Fresh Basil,
Fresh Thyme,
Freshly Chopped Parsley,
Fries,
Full Fat Yogurt,
Garam Masala,
Garlic,
Garlic Clove,
Garlic Powder,
Garlic Sauce,
Ghee,
Ginger,
Ginger Cordial,
Ginger Garlic Paste,
Ginger Paste,
Golden Syrup,
Gouda Cheese,
Granulated Sugar,
Grape Tomatoes,
Greek Yogurt,
Green Beans,
Green Chilli,
Green Olives,
Green Red Lentils,
Green Salsa,
Ground Almonds,
Ground Cumin,
Ground Ginger,
Gruyère,
Hard Taco Shells,
Harissa Spice,
Heavy Cream,
Honey,
Horseradish,
Hot Beef Stock,
Hotsauce,
Ice Cream,
Italian Fennel Sausages,
Italian Seasoning,
Jalapeno,
Jasmine Rice,
Jerusalem Artichokes,
Kale,
Khus Khus,
King Prawns,
Kosher Salt,
Lamb,
Lamb Loin Chops,
Lamb Mince,
Lasagne Sheets,
Lean Minced Beef,
Leek,
Lemon,
Lemon Juice,
Lemon Zest,
Lemons,
Lettuce,
Lime,
Little Gem Lettuce,
Macaroni,
Mackerel,
Madras Paste,
Marjoram,
Massaman Curry Paste,
Medjool Dates,
Meringue Nests,
Milk,
Minced Garlic,
Miniature Marshmallows,
Mint,
Monterey Jack Cheese,
Mozzarella Balls,
Muscovado Sugar,
Mushrooms,
Mustard,
Mustard Powder,
Mustard Seeds,
Nutmeg,
Oil,
Olive Oil,
Onion Salt,
Onions,
Orange,
Orange Zest,
Oregano,
Oyster Sauce,
Paprika,
Parma Ham,
Parmesan,
Parmesan Cheese,
Parmigiano-reggiano,
Parsley,
Peanut Butter,
Peanut Oil,
Peanuts,
Peas,
Pecorino,
Penne Rigate,
Pepper,
Pine Nuts,
Pitted Black Olives,
Plain Chocolate,
Plain Flour,
Plum Tomatoes,
Potato Starch,
Potatoes,
Prawns,
Puff Pastry,
Raspberry Jam,
Raw King Prawns,
Red Chile Flakes,
Red Chilli,
Red Chilli Powder,
Red Onions,
Red Pepper,
Red Pepper Flakes,
Red Wine,
Refried Beans,
Rice,
Rice Noodles,
Rice Stick Noodles,
Rice Vermicelli,
Rigatoni,
Rocket,
Rolled Oats,
Rosemary,
Saffron,
Sage,
Sake,
Salsa,
Salt,
Salted Butter,
Sausages,
Sea Salt,
Self-raising Flour,
Semi-skimmed Milk,
Sesame Seed,
Shallots,
Shredded Mexican Cheese,
Shredded Monterey Jack Cheese,
Small Potatoes,
Smoked Paprika,
Smoky Paprika,
Sour Cream,
Soy Sauce,
Soya Milk,
Spaghetti,
Spinach,
Spring Onions,
Squash,
Stir-fry Vegetables,
Strawberries,
Sugar,
Sultanas,
Sunflower Oil,
Tamarind Ball,
Tamarind Paste,
Thai Fish Sauce,
Thai Green Curry Paste,
Thai Red Curry Paste,
Thyme,
Tomato Ketchup,
Tomato Puree,
Tomatoes,
Toor Dal,
Tuna,
Turmeric,
Turmeric Powder,
Turnips,
Vanilla,
Vanilla Extract,
Veal,
Vegan Butter,
Vegetable Oil,
Vegetable Stock,
Vegetable Stock Cube,
Vinaigrette Dressing,
Vine Leaves,
Vinegar,
Water,
White Chocolate Chips,
White Fish,
White Fish Fillets,
White Vinegar,
White Wine,
Whole Milk,
Whole Wheat,
Wholegrain Bread,
Worcestershire Sauce,
Yogurt,
Zucchini,
Pretzels,
Cream Cheese,
Icing Sugar,
Toffee Popcorn,
Caramel,
Caramel Sauce,
Tagliatelle,
Fettuccine,
Clotted Cream,
Corn Flour,
Mussels,
Fideo,
Monkfish,
Vermicelli Pasta,
Baby Squid,
Squid,
Fish Stock,
Pilchards,
Black Olives,
Onion,
Tomato,
Duck,
Duck Legs,
Chicken Stock Cube,
Pappardelle Pasta,
Paccheri Pasta,
Linguine Pasta,
Sugar Snap Peas,
Crusty Bread,
Fromage Frais,
Clams,
Passata,
Rapeseed Oil,
Stilton Cheese,
Lamb Leg,
Lamb Shoulder,
Apricot,
Butternut Squash,
Couscous,
Minced Beef,
Turkey Mince,
Barbeque Sauce,
Sweetcorn,
Goose Fat,
Duck Fat,
Fennel,
Red Wine Vinegar,
Haricot Beans,
Rosemary,
Butter Beans,
Pinto Beans,
Tomato Sauce,
Tomato Sauce,
Mascarpone,
Mozzarella,
Ricotta,
Dried Apricots,
Capers,
Banana,
Raspberries,
Blueberries,
Walnuts,
Pecan Nuts,
Maple Syrup,
Light Brown Soft Sugar,
Dark Brown Soft Sugar,
Dark Chocolate Chips,
Milk Chocolate,
Dark Chocolate,
Pumpkin,
Shortcrust Pastry,
Peanut Cookies,
Gelatine Leafs,
Peanut Brittle,
Peaches,
Yellow Pepper,
Green Pepper,
Courgettes,
Tinned Tomatos,
Chestnuts,
Wild Mushrooms,
Truffle Oil,
Paneer,
Naan Bread,
Lentils,
Roasted Vegetables,
Kidney Beans,
Mixed Grain,
Tahini,
Tortillas,
Udon Noodles,
Cabbage,
Shiitake Mushrooms,
Mirin,
Sesame Seed Oil,
Baguette,
Vine Tomatoes,
Suet,
Swede,
Ham,
Oysters,
Stout,
Lard,
Lamb Kidney,
Beef Kidney,
Haddock,
Smoked Haddock,
Brussels Sprouts,
Raisins,
Currants,
Custard,
Mixed Peel,
Redcurrants,
Blackberries,
Hazlenuts,
Braeburn Apples,
Red Food Colouring,
Pink Food Colouring,
Blue Food Colouring,
Yellow Food Colouring,
Apricot Jam,
Marzipan,
Almonds,
Black Pudding,
Baked Beans,
White Flour,
Yeast,
Fruit Mix,
Dried Fruit,
Cherry,
Glace Cherry,
Treacle,
Oatmeal,
Oats,
Egg,
Beef Shin,
Bouquet Garni,
Single Cream,
Red Wine Jelly,
Apples,
Goats Cheese,
Prosciutto,
Unsalted Butter,
Brie,
Tarragon Leaves,
Chives,
Pears,
White Chocolate,
Star Anise,
Tiger Prawns,
Custard Powder,
Desiccated Coconut,
Frozen Peas,
Minced Pork,
Creamed Corn,
Sun-Dried Tomatoes,
Dijon Mustard,
Tabasco Sauce,
Canola Oil,
Cod,
Salt Cod,
Ackee,
Jerk,
Ground Beef,
Baby Aubergine,"Eggplant (Solanum melongena) or aubergine is a species of nightshade grown for its edible fruit. Eggplant is the common name in North America, Australia and New Zealand; in British English, it is aubergine, and in South Asia and South Africa, brinjal.

The fruit is widely used in cooking. As a member of the genus Solanum, it is related to the tomato and the potato. It was originally domesticated from the wild nightshade species, the thorn or bitter apple, S. incanum, probably with two independent domestications, one in South Asia and one in East Asia."
Paella Rice,"Paella[a] is a Valencian rice dish that has ancient roots but its modern form originated in the mid-19th century in the area around Albufera lagoon on the east coast of Spain, adjacent to the city of Valencia. Many non-Spaniards view paella as Spain's national dish, but most Spaniards consider it to be a regional Valencian dish. Valencians, in turn, regard paella as one of their identifying symbols.

Types of paella include Valencian paella, vegetable paella (Spanish: paella de verduras), seafood paella (Spanish: paella de mariscos), and mixed paella (Spanish: paella mixta), among many others. Valencian paella is believed to be the original recipe and consists of white rice, green beans (bajoqueta and tavella), meat (chicken, duck and rabbit), white beans (garrofón), snails, and seasoning such as saffron and rosemary. Another very common but seasonal ingredient is artichokes. Seafood paella replaces meat with seafood and omits beans and green vegetables. Mixed paella is a free-style combination of meat from land animals, seafood, vegetables, and sometimes beans. Most paella chefs use bomba rice due to it being less likely to overcook, but Valencians tend to use a slightly stickier (and thus more susceptible to overcooking) variety known as Senia. All types of paellas use olive oil."
Scotch Bonnet,"Scotch bonnet, also known as bonney peppers, or Caribbean red peppers, is a variety of chili pepper named for its resemblance to a tam o' shanter hat. Also called ata rodo by Yoruba speakers of Nigeria, it is found mainly in the Caribbean islands; it is also found in Guyana (where it is called the ball-of-fire pepper), the Maldives Islands (where it is called githeyo mirus), Panama (where it is called aji chombo) and West Africa. Most Scotch bonnets have a heat rating of 100,000–350,000 Scoville units. For comparison, most jalapeño peppers have a heat rating of 2,500 to 8,000 on the Scoville scale. However, completely sweet varieties of Scotch bonnet are grown on some of the Caribbean islands, called cachucha peppers.

These peppers are used to flavour many different dishes and cuisines worldwide and are often used in hot sauces and condiments. The Scotch bonnet has a sweeter flavour and stouter shape, distinct from its habanero relative with which it is often confused, and gives jerk dishes (pork/chicken) and other Caribbean dishes their unique flavour. Scotch bonnets are mostly used in West African, Antiguan, Kittitian/Nevisian, Anguilan, Dominican, St. Lucian, St Vincentian, Grenadian, Trinidadian, Jamaican, Barbadian, Guyanese, Surinamese, Haitian and Cayman cuisines and pepper sauces, though they often show up in other Caribbean recipes. It is also used in Costa Rica and Panama for Caribbean-styled recipes such as rice and beans, Rondón, saus, beef patties, and Ceviche.

Fresh, ripe Scotch bonnets can change from green to yellow to scarlet red, however many other breeds of this pepper can ripen to orange, yellow, peach, or even a chocolate brown."
Oxtail,"Oxtail (occasionally spelled ox tail or ox-tail) is the culinary name for the tail of cattle. Formerly, it referred only to the tail of an ox or steer, a bullock (a castrated male).[citation needed] An oxtail typically weighs 2 to 4 lbs. (1–1.8 kg) and is skinned and cut into short lengths for sale.

Oxtail is a bony, gelatin-rich meat, which is usually slow-cooked as a stew[1] or braised. It is a traditional stock base for a soup. Traditional preparations involve slow cooking, so some modern recipes take a shortcut using a pressure cooker. Oxtail is the main ingredient of the Italian dish coda alla vaccinara (a classic of Roman cuisine). It is a popular flavour for powder, instant and premade canned soups in the United Kingdom and Ireland. Oxtails are also one of the popular bases for Russian aspic appetizer dishes (холодец or студень), along with pig trotters or ears or cow ""knees"", but are the preferred ingredients among Russian Jews because they can be Kosher.

Versions of oxtail soup are popular traditional dishes in South America, West Africa, China, Spain [2] and Indonesia. In Chinese cuisine, it's usually made into a soup called 牛尾汤 (niúwěi tāng, ""oxtail soup""). In Korean cuisine, a soup made with oxtail is called kkori gomtang (see gomguk). It is a thick soup seasoned with salt and eaten with a bowl of rice. It can be used as a stock for making tteokguk (rice cake soup). Stewed oxtail with butter bean or as main dish (with rice) is popular in Jamaica, Trinidad, and other West Indian cultures. Oxtail is also very popular in South Africa where it is often cooked in a traditional skillet called a potjie, which is a three-legged cast iron pot placed over an open fire. Oxtail is also eaten in other southern parts of Africa like Zimbabwe and served with sadza and greens. In the United States, oxtail is a mainstay in African American and West Indian households. In Cuban cuisine, a stew can be made from oxtail called rabo encendido. In the Philippines, it is prepared in a peanut based stew called Kare-kare. In Iran, Oxtail is slow-cooked and served as a substitute for shank in a main dish called Baghla-Poli-Mahicheh which is prepared with rice, shank (or oxtail) and a mixture of herbs including dill, coriander, parsley and garlic.

In the United States, oxtail has the meat-cutting classification NAMP 1791."
Broad Beans,"Vicia faba, also known as the broad bean, fava bean, faba bean, field bean, bell bean, or tic bean, is a species of flowering plant in the pea and bean family Fabaceae. It is native to North Africa[dubious – discuss] southwest and south Asia, and extensively cultivated elsewhere.[citation needed] A variety Vicia faba var. equina Pers. – horse bean has been previously recognized."
Red Snapper,"The northern red snapper (Lutjanus campechanus) is a species of snapper native to the western Atlantic Ocean including the Gulf of Mexico, where it inhabits environments associated with reefs. This species is commercially important and is also sought-after as a game fish.

The northern red snapper's body is very similar in shape to other snappers, such as the mangrove snapper, mutton snapper, lane snapper, and dog snapper. All feature a sloped profile, medium-to-large scales, a spiny dorsal fin, and a laterally compressed body. Northern red snapper have short, sharp, needle-like teeth, but they lack the prominent upper canine teeth found on the mutton, dog, and mangrove snappers. This snapper reaches maturity at a length of about 39 cm (15 in). The common adult length is 60 cm (24 in), but may reach 100 cm (39 in). The maximum published weight is 38 kg (84 lb), and the oldest reported age is 100+ years. Coloration of the northern red snapper is light red, with more intense pigment on the back. It has 10 dorsal spines, 14 soft dorsal rays, three anal spines and eight to 9 anal soft rays. Juvenile fish (shorter than 30–35 cm) can also have a dark spot on their sides, below the anterior soft dorsal rays, which fades with age."
Malt Vinegar,"Vinegar is a liquid consisting of about 5–20% acetic acid (CH3COOH), water, and other trace chemicals, which may include flavorings. The acetic acid is produced by the fermentation of ethanol by acetic acid bacteria. Vinegar is now mainly used as a cooking ingredient, or in pickling. As the most easily manufactured mild acid, it has historically had a great variety of industrial, medical, and domestic uses, some of which (such as its use as a general household cleaner) are still commonly practiced today.

Commercial vinegar is produced either by a fast or a slow fermentation process. In general, slow methods are used in traditional vinegars where fermentation proceeds slowly over the course of a few months or up to a year. The longer fermentation period allows for the accumulation of a non-toxic slime composed of acetic acid bacteria. Fast methods add mother of vinegar (bacterial culture) to the source liquid before adding air to oxygenate and promote the fastest fermentation. In fast production processes, vinegar may be produced between 20 hours to three days."
